"-- All --",--Todos--
"-- First Please Select a Website --","--Por favor seleccione un sitio web--"
"-- No Theme --","-Sin tema--"
"-- None --","-- Ninguno --"
"-- Please Select --","-- Por favor, seleccione --"
"-- Please select --","-- Por favor, seleccione --"
"-- Please Select --",--Seleccione--
"-- Please select --","-- Por favor, seleccione --"
"-- Please Select --",--Seleccione--
"-- Please Select a Category --","--Por favor, seleccione una categoría--"
"-- Please Select Billing Agreement--","-- Por favor, seleccione el acuerdo de facturación--"
"-- Select --","-- Seleccione --"
"--Please Select--",--Seleccione--
"Priority Mail Express Legal Flat Rate Envelope","Priority Mail Express Legal Flat Rate sobre"
"Priority Mail Express Legal Flat Rate Envelope Hold For Pickup","Priority Mail Express Legal Flat Rate sobre recolección"
"Priority Mail Express Padded Flat Rate Envelope","Priority Mail Express Padded Flat Rate sobre"
"Priority Mail Express Padded Flat Rate Envelope Hold For Pickup","Priority Mail Express Padded Flat Rate sobre recolección"
"Priority Mail Express Sunday/Holiday Delivery Flat Rate Envelope","Priority Mail Express Sunday/Holiday Delivery Flat Rate sobre"
"Priority Mail Express Sunday/Holiday Delivery Legal Flat Rate Envelope","Priority Mail Express Sunday/Holiday Delivery Legal Flat Rate sobre"
"Priority Mail Express Sunday/Holiday Delivery Padded Flat Rate Envelope","Priority Mail Express Sunday/Holiday Delivery Padded Flat Rate sobre"
"Priority Mail Flat Rate Envelope","Priority Mail Flat Rate sobre"
"Priority Mail Flat Rate Envelope Hold For Pickup","Priority Mail Flat Rate sobre recolección"
"Priority Mail Gift Card Flat Rate Envelope","Priority Mail Gift Card Flat Rate sobre"
"Priority Mail Gift Card Flat Rate Envelope Hold For Pickup","Priority Mail Gift Card Flat Rate sobre recolección"
"Priority Mail Hold For Pickup","Priority Mail recolección"
"Priority Mail International Flat Rate Envelope","Priority Mail International Flat Rate sobre"
"Priority Mail International Gift Card Flat Rate Envelope","Priority Mail International Gift Card Flat Rate sobre"
"Priority Mail International Large Video Flat Rate priced box","Prioridad de la tarifa única de correo internacional con Caja de Vídeo Grande"
"Priority Mail International Legal Flat Rate Envelope","Priority Mail International Legal Flat Rate sobre"
"Priority Mail International Padded Flat Rate Envelope","Priority Mail International Padded Flat Rate sobre"
"Priority Mail International Small Flat Rate Envelope","Priority Mail International Small Flat Rate sobre"
"Priority Mail International Window Flat Rate Envelope","Priority Mail International Window Flat Rate sobre"
"Priority Mail Large Flat Rate Box Hold For Pickup","Priority Mail Large Flat Rate Box recolección"
"Priority Mail Legal Flat Rate Envelope","Priority Mail Legal Flat Rate sobre"
"Priority Mail Legal Flat Rate Envelope Hold For Pickup","Priority Mail Legal Flat Rate sobre recolección"
"Priority Mail Medium Flat Rate Box Hold For Pickup","Priority Mail Medium Flat Rate Box recolección"
"Priority Mail Padded Flat Rate Envelope","Priority Mail Padded Flat Rate sobre"
"Priority Mail Padded Flat Rate Envelope Hold For Pickup","Priority Mail Padded Flat Rate sobre recolección"
"Priority Mail Regional Rate Box A Hold For Pickup","Priority Mail Regional Rate Box A recolección"
"Priority Mail Regional Rate Box B Hold For Pickup","Priority Mail Regional Rate Box B recolección"
"Priority Mail Regional Rate Box C Hold For Pickup","Priority Mail Regional Rate Box C recolección"
"Priority Mail Small Flat Rate Box Hold For Pickup","Priority Mail Small Flat Rate Box recolección"
"Priority Mail Small Flat Rate Envelope","Priority Mail Small Flat Rate sobre"
"Priority Mail Small Flat Rate Envelope Hold For Pickup","Priority Mail Small Flat Rate sobre recolección"
"Priority Mail Window Flat Rate Envelope","Priority Mail Window Flat Rate sobre"
"Priority Mail Window Flat Rate Envelope Hold For Pickup","Priority Mail Window Flat Rate sobre recolección"
"Priority Overnight","Prioridad durante la noche"
"Privacy and Cookie Policy","Política de privacidad y cookies"
"Privacy Settings","Ajustes de privacidad"
Private,Privado
"Private Key","Clave Privada"
"Private Sales","Ventas privadas"
"Private Sales: Login and Register","Ventas privadas: Inicio de sesión y registro"
"Private Sales: Login Only","Ventas privadas: Inicio de sesión sólo"
"Private Wish List","Lista de deseos privada"
"Proceed through checkout faster","Procede a través del checkout más rápido"
"Proceed to Checkout","Realizar el pedido"
"Process payments using your own internet merchant account.","Procese pagos mediante su propia cuenta de minorista en internet."
Processed,Procesado
"Processed and Closed","Procesado y cerrado"
Processing,Procesando
"Processing ...",Procesando...
"Processor declined","Declinado por el procesador"
Product,Artículo
product,artículo
Product,Producto
"Product %1","Producto %1"
"Product %1 doesn't have linked %2 as %3","El artículo %1 no tiene un vínculo %2 como %3"
"Product %1%2%3%4%5%6%7","Producto %1%2%3%4%5%6%7"
"Product Alerts","Alertas de artículo"
"Product alerts Cron error","Error de cron de las alertas de artículo"
"Product alerts cron warnings","Advertencias de alertas cron de productos"
"Product Alerts Run Settings","Configuración de la función de alertas de artículo"
"Product Attribute","Atributos del artículo"
"Product attribute combination","Combinación de atributos de artículo"
"Product Attributes","Atributos del artículo"
"Product availability","Disponibilidad del producto"
"Product Categories","Categorías de artículo"
"Product Details and Comment","Detalles del artículo y comentarios"
"Product EAV","Producto EAV"
"Product Eav Attributes","Atributos del producto Eav"
"Product Exception.","Excepción de producto."
"Product Fields Auto-Generation","Generación automática de campos producto"
"Product Flat Data","Datos fijos de artículo"
"Product has been already attached","El producto ya se adjunto"
"Product has required options.","El producto tiene opciones obligatorias."
"Product hasn't group price with such data: customerGroupId = '%1', website = %2, qty = %3","El producto no tiene un grupo de precios con estos datos: Grupo id del cliente = '%1', Sitio Web =%2, cantidad =%3"
"Product History","Historia de producto"
"Product ID","ID de artículo"
"Product image","Imagen del Producto"
"Product Image Placeholders","Marcadores de posición de imagen de artículo"
"Product Image Watermarks","Marcas de agua de imagen de artículo"
"Product in Websites","Producto en sitios web"
"Product In Websites","Artículo en sitios web"
"Product Info","Información del producto"
"Product is not loaded","El artículo no se ha cargado"
"Product is not salable.","Producto no es vendible."
"Product Link Block Template","Plantilla de bloque de Vínculo de artículo"
"Product Link Inline Template","Plantilla en línea de Vínculo de artículo"
"Product List","Lista de Productos"
"Product Listing Sort by","Ordenar lista de productos por"
"Product Match Conditions (leave blank for matching all products)","Condiciones de coincidencia de productos (dejar en blanco para coincidir todos los productos)"
"Product Name","Nombre del producto"
"Product offline","Artículo fuera de línea"
"Product online","Artículo en línea"
"Product online status","Estado del artículo en línea"
"Product Page","Página de artículo"
"Product Price","Precio del producto"
"Product Rating","Valoración de artículo"
"Product Rating:","Valoración de artículo:"
"Product Result Conditions (leave blank for matching all products)","Condiciones de resultado de productos (dejar en blanco para coincidir todos los productos)"
"Product Review (submitted on %1):","Reseña de producto (enviada el %1):"
"Product Reviews","Reseñas de artículo"
"Product Reviews Report","Informe de comentarios del producto"
"Product Rule Information","Información de regla de producto"
"Product Special","Producto especial"
"Product Stock Options","Opciones de existencias de artículo"
"Product Store Name","Nombre de la tienda"
"Product Tax Class","Clase de impuestos del artículo"
"Product Thumbnail Itself","Miniaturansicht des Artikels selbst"
"Product URL Suffix","Sufijo de URL de artículo"
"Product Video","Vídeos del producto"
"Product View Optimization","Optimización de la vista del producto"
"Product Views Report","Repoprte de productos vistos"
"Product was not registered","Producto no fue registrado"
"Product with id ""%1"" does not contain required attribute ""%2"".","El producto con ID ""%1"" no contiene el atributo obligatorio ""%2""."
"Product with SKU '%1' is not linked to product with SKU '%2'","El producto con SKU '%1' no está vinculado al producto con SKU '%2'"
"Product with SKU ""%1"" does not exist","El producto con SKU ""%1"" no existe"
"Product with SKU %1 is not linked to product with SKU %2","El producto con SKU %1 no está vinculado al producto con SKU %2"
"Product with specified sku: ""%1"" does not contain option: ""%2""","Artículo con determinado sku: ""%1"" no contiene la opción: ""%2"""
"Product with specified sku: ""%1"" is not a bundle product","El producto con la sku especificada: %1 no es un paquete de productos"
"Product with specified sku: %1 is not a bundle product","Artículo con determinado sku: %1 no es un artículo de paquete"
"Product with specified sku: %1 is not a configurable product","Producto con el sku: %1 no es un producto configurable"
Product:,Producto:
"Product: ""%1"" reviewed by: %2","Producto: ""%1"" valorado por: %2"
"Product: <a href=""%1"" target=""_blank"">%2</a> <br/>","<a href=""%1"" target=""_blank"">%2</a> de producto: <br/>"
"Product(s) %1 have required options. Each product can only be added individually.","El (los) artículo(s) %1 requieren opciones. Cada artículo solo se puede añadir de manera individual."
"Product/Target Rule","Regla del producto/destino"
Products,Artículos
"Products ""%1"" and ""%2"" have the same set of attribute values.","Los productos ""%1"" y ""%2"" tienen el mismo conjunto de atributos."
"Products back in stock alert","Alerta de productos de vuelta en stock"
"Products Bestsellers Report","Informe de artículos más vendidos"
"Products Comparison List","Lista de Comparación de artículos"
"Products Grid Template","Plantilla de Cuadrícula de Productos"
"Products in Cart","Productos en carrito"
"Products in carts","Artículos en carritos"
"Products in Carts","Artikel in Warenkörben"
"Products in Category","Productos en la categoría"
"Products in Comparison List","Artículos en la lista de comparación"
"Products in the Comparison List (%1)","Artículos en la lista de comparación (%1)"
"Products Information","Información de artículos"
"Products Most Viewed Report","Bericht meistgesehene Artikel"
"Products only","Sólo artículos"
"Products Options","Opciones de artículos"
"Products Ordered","Artículos pedidos"
"Products per Page on Grid Allowed Values","Artículos por página (valores permitidos por la cuadrícula)"
"Products per Page on Grid Default Value","Artículos por página (predeterminado por la cuadrícula)"
"Products per Page on List Allowed Values","Artículos por página (valores permitidos por la lista)"
"Products per Page on List Default Value","Artículos por página (predeterminado por la lista)"
"Products price changed alert","Alerta de cambio de precio de producto"
"Products Quantity","Cantidad de productos"
"Products Report","Informe de artículos"
"Products Requiring Attention","Artículos que requieren su atención"
"Products Reviews","Reseñas de artículos"
"Products should be added to package(s)","Los artículos deberían ser añadidos a paquete(s)"
"Products subselection","Subselección de artículos"
"Products to Display","Productos para mostrar"
"Products to Match","Productos para coincidir"
"Products will still be shown by direct product URLs.","Los artículos se seguirán mostrando por URL de artículo directa."
"Products with the following SKUs do not exist: %s","No existen productos con los siguientes SKU: %s"
"ProductSku should be specified","Sku de producto debe ser especificado"
"Profile ID","ID de perfil"
Profit,Ganancia
Promo,Werbeaktion
"Promo Section","Sección de promoción"
Promotion,Promoción
"Promotion Coupons Usage Report","Informe de utilización de cupones de promoción"
"Promotion reminder at %store_name","Recordatorio de la promoción en %store_name"
"Promotion rule this reminder will advertise.","Regla de promoción que este recordatorio anunciará."
Promotions,Promociones
Properties,Propiedades
Protected,Protegido
"Provide the wish list name.","Proporciona el nombre de la lista de deseos."
"Provided Attribute set non product Attribute set.","El conjunto de atributos proporcionado no es un conjunto de atributos de artículo."
"Provided content must be valid base64 encoded data.","El contenido proporcionado debe ser datos base64 codificado válido."
"Provided downloadable link is not related to given product.","El link descargable no esta relacionado con el producto."
"Provided downloadable sample is not related to given product.","La muestra descargable proporcionada no está relacionada con el producto."
"Provided form does not exist","El formulario proporcionado no existe"
"Provided image name contains forbidden characters.","Nombre de archivo que provee contiene caracteres prohibidos."
"Provided link information is invalid.","Información de enlace proporcionado no es válido."
"Provided link type ""%1"" does not exist","El tipo de vínculo proveído ""%1"" no existe"
"Provided sample information is invalid.","La información de ejemplo proporcionada no es válida."
"Provided Zip/Postal Code seems to be invalid.","El Código Postal parece no ser válido."
"Proxy Host","Servidor Proxy"
"Proxy Port","Puerto proxy"
Public,Público
"Public content cache lifetime in seconds. If field is empty default value 86400 will be saved.","En duración en caché de contenido público en segundos. Si el campo está vacío se guardarán el valor por defecto 86400."
"Public In RSS Feed","Publicar feed RSS"
"Public Key","Clave publica"
"Public Wish List","Lista de deseos pública"
"Publish Revision","Publicación revisión"
"Publisher ID","ID de editor"
Purchase,Compra
"Purchase Date","Fecha de compra"
"Purchase Order","Orden de compra"
"Purchase Order Number","Número de pedido."
"Purchase Order Number: %1","Número de orden de compra: %1"
"Purchase Point","Punto de compra"
Purchased,Comprada
"Purchased From","Comprado de"
"Purchased From: %1","Comprado en: %1"
"Purchased Quantity","Cantidad comprada"
Purchases,Compras
Qty,Cantidad
"Qty Fulfilled","Qty cumplida"
"Qty Increments","Incrementos de cantidad"
"Qty Invoiced","Cantidad facturada"
"Qty Ordered","Cantidad pedida"
"Qty Shipped","Cantidad enviada"
"Qty to Invoice","Cantidad a facturar"
"Qty to Refund","Cantidad a reembolsar"
"Qty to Ship","Cantidad a enviar"
"Qty Uses Decimals","La Cantidad Usa Decimales"
Quantity,Cantidad
quantity,cantidad
Quantity,Cantidad
"Quantity in cart","Cantidad en el carrito"
"Quantity To Return","Cantidad para devolución"
"Quantity was recalculated from %1 to %2","Cantidad se recalculó de %1 a %2"
Quantity:,Cantidad:
Questions,Preguntas
"Questions and Answers","Preguntas y respuestas"
"Queue Date Start","Fecha de inicio de la cola de tareas"
"Queue End","Final de la cola"
"Queue Information","Información de la cola de tareas"
"Queue Newsletter","Cola de Boletín"
"Queue Start","Inicio de la cola de tareas"
"Queue Start Date","Fecha de inicio de cola"
"Queue Subject","Asunto de la cola de tareas"
"Quick Checkout","Checkout rápido"
"Quick Search Form Types","Tipos de formulario de búsqueda rápida"
"Quote item id is not received.","No se recibió la id de la cita del artículo."
"Quote item is not loaded.","No se cargó la cita del artículo."
"Quote Lifetime (days)","Gültigkeit der Preise im Warenkorb (in Tagen)"
"Radio Buttons","Botones de radio"
"Range From","Intervalo desde"
"Range To","Intervalo hasta"
"Range To should be equal or greater than Range From.","El rango superior debe ser igual o superior al rango inferior."
Rate,Tasa
"Rate Percent","Tasa de porcentaje"
Rating,Valoración
"Rating Information","Información sobre la puntuación"
"Rating isn't Available","La puntuación no está disponible"
"Rating Title","Visibilidad de la puntuación"
"Rating Visibility","Visibilidad de la puntuación"
Ratings,Calificaciones
"Ratings Review Summary","Resumen de revisión de calificaciones"
"Read Details","Leer detalles"
"Read More","Leer más"
"Read Product Price","Leer precio del artículo"
"Reading import file","Leyendo el archivo importado"
Ready,Listo
Reason,Razón: 
"Reason to Return","Razón de la devolución"
Reauthorization,Reautorización
Reauthorize,Reautorizar
Rebuild,Reconstruir
"Rebuild Catalog Index","Reconstrucción del índice de catálogo"
"Rebuild Catalog product fulltext search index","Reconstruir catálogo Artículo todo el texto búsqueda índice"
"Rebuild Customer grid index","Reconstruir el índice de red de cliente"
"Rebuild design config grid index","Reconstruir índice de cuadrícula de configuración de diseño"
"Rebuild Flat Catalog Category","Reconstruir Tabla Plana de Categoría"
"Rebuild Flat Catalog Product","Reconstruir Tabla Plana de Productos"
"Receive Date","Fecha de recepción"
"Recent Orders","Pedidos recientes"
"Recent statistics have been updated.","Neueste Statistiken sind aktualisiert worden."
"Recently added item(s)","Artículos recientemente añadidos"
"Recently Compared","Comparados recientemente"
"Recently Compared Products","Productos Comparados Recientemente"
"Recently Compared Products (%1)","Artículos comparados recientemente (%1)"
"Recently Ordered","Recientemente ordenado"
"Recently Viewed","Vistos recientemente"
"Recently Viewed Products","Artículos vistos recientemente"
"Recently Viewed Products (%1)","Artículos vistos recientemente (%1)"
"Recently Viewed/Compared Products","Artículos vistos/comparados recientemente"
"Recipient Address","Dirección del destinatario"
"Recipient Email","Correo electrónico destinatario"
"Recipient Name","Nombre Destinatario"
"Recipient: %1.","Destinatario: %1."
Recipients,Recipientes
Recommended,Recomendado
"records found","registros encontrados"
"Recovery Link Expiration Period (hours)","Período de expiración del enlace de recuperación (horas)"
"Redeem Gift Card","Canjear tarjeta regalo"
Redeemable,Redimibles
Redeemed,Redimido
"Redeemed for order #%1","Redimir para la orden #%1"
"Redirect Customer to Account Dashboard after Logging in","Redirigir a los clientes al Panel de Control de la cuenta después de iniciar sesión"
"Redirect to CMS-page if Cookies are Disabled","Zur CMS-Seite weiterleiten, wenn Cookies deaktiviert sind."
"Redirect Type","Tipo de redirección"
"Redirect URL","URL de redirección"
"Reference ID","ID de referencia"
"Reference ID:","ID de referencia:"
"Reference Information","Información de Referencia"
"Reference number","Número de referencia"
"Referred Customer Group","Grupo de clientes referidos"
"Reflection Data","Datos de reflexión"
Refresh,Actualizar
"Refresh Data","Actualizar datos"
"Refresh Lifetime Statistics","Actualiza estadísticas del ciclo total"
"Refresh Segment Data","Actualizar los datos de segmento"
"Refresh Statistics","Actualizar estadísticas"
"Refresh Statistics for the Last Day","Actualizar estadísticas del último día"
"Refresh Status","Actualizar estado"
refund,reembolso
Refund,Reembolso
"Refund #","Reembolso nº"
"Refund #%1","Reembolso nº %1"
"Refund Amount","Importe reembolsado"
"Refund Gift Cards to Store Credit","Reembolsar Tarjetas de Regalo como Crédito de la Tienda"
"Refund Ids","Ids de reembolso"
"Refund Money to Store Credit","Reembolsar a crédito de tienda"
"Refund Offline","Reembolso fuera de línea"
"Refund Online","Reembolso en línea"
"Refund Reward Points","Reembolso de puntos de recompensa"
"Refund Reward Points Automatically","Reembolsar automáticamente puntos de recompensa"
"Refund Shipping","Reembolso del envío"
"Refund Shipping (Excl. Tax)","Reembolso del envío (impuestos no incl.)"
"Refund Shipping (Incl. Tax)","Reembolso del envío (impuestos incl.)"
"Refund Store Credit Automatically","Reembolsar Crédito de la Tienda Automáticamente"
"Refund Store Credit to Store Credit","Reembolsar Crédito de Tienda a Crédito de Tienda"
"Refund to Store Credit","Reembolsar a crédito de tienda"
"Refund Totals","Estadísticas totales de reembolso"
Refunded,Reembolsado
"Refunded from order #%1","Devolución de la orden #%1"
"Refunded Orders","Pedidos reembolsados"
"Refunded to Store Credit","Reembolsado a crédito de tienda"
Refunds,Reembolsos
"Refunds Report","Informe de reembolsos"
Refused,Rechazado
region,región
Region/State,Región/Provincia
Registered,Registrado
"Registered a Void notification.","Recibido una noticia vacía."
"Registered as customer","Registrado como cliente"
"Registered Customers","Clientes registrados"
"Registered notification about captured amount of %1.","Recibido una noticia acerca de un importe capturado de %s."
"Registered notification about refunded amount of %1.","Recibido una noticia acerca de un importe reembolsado de %s."
"Registered update about approved payment.","Recibido una actualización acerca de un pago aprobado."
"Registered update about denied payment.","Recibido una actualización acerca de un pago denegado."
Registrant,Registrante
"Registrant Email","Correo electrónico del registrante"
"Registrant Email Search","Búsqueda de correo electrónico del registrante"
"Registrant Information","Información del registrante"
"Registrant Name Search","Búsqueda de nombre de registrante"
Registrants,Registrantes
Registration,Registro
"Registry ID:","ID del registro:"
"Registry Location:","Ubicación del registro:"
"Registry owner","Dueño de registro"
"Regular Pickup","Recogida ordinaria"
"Regular Price","Precio habitual"
"Reimbursement for a chargeback.","Devolución o reembolso."
"Reimbursement of Chargeback","Reembolso de una transacción devuelta"
"Reindex Process","Proceso de reindexación"
"Reindex required","Reindexado requerido"
"Reject Transaction if:","Rechazar la transacción si:"
Rejected,Rechazado/a
"Related Banners","Banners Relacionados"
"Related Cart Price Rules","Reglas relacionadas del precio del carrito"
"Related Catalog Price Rules","Relacionados con las reglas de precio del catálogo"
"Related Changes","Cambios relacionados"
"Related Orders","Pedidos relacionados"
"Related Products","Productos relacionados"
"Related products are shown to customers in addition to the item the customer is looking at.","Los productos relacionados se muestran a los clientes además del artículo que el cliente está viendo."
"Related Products Rule","Regla de artículos relacionados"
"Related Products Rules","Regla de artículos relacionados"
"Related Products, Up-Sells, and Cross-Sells","Artículos relacionados, ventas mejoradas y ventas cruzadas"
"Related Promotions","Promociones relacionadas"
"Related Search Terms","Términos de búsqueda relacionados"
"Reload captcha","Recargar captcha"
"Reload Data","Recargar datos"
Remaining,Restantes
"Remaining Downloads","Descargas restantes"
"Remaining Qty","Cantidad restante"
"Remaining Quantity","Cantidad restante"
"Remaining Quantity:","Cantidad restante:"
"Remember Me",Recordarme
"Remind Email Template","Plantilla para el correo electrónico de recordatorio"
"Reminder Email Sender","Remitente de email de recordatorio"
"Reminder emails may promote a cart price rule with or without a coupon. If a cart price rule defines an auto-generated coupon, this reminder rule will generate a random coupon code for each customer.","Los emails de recordatorio pueden promover una regla comercial de precio de carro con o sin un cupón. Si una regla de precio de carrito define un cupón generado automáticamente, esta regla de recordatorio generará un código de cupón al azar para cada cliente."
"Reminder rule matching error.","Error correspondiente de la regla de recordatorio."
"Reminder Rules","Reglas de Recordatorio"
"Remote Admin Authorisation Password","Contraseña de autorización de administración remota"
"Remote Admin Installation ID","ID de instalación de administración remota"
"Remote FTP","FTP remoto"
Remove,Eliminar
"Remove %1","Eliminar %1"
"Remove All","Remover todos"
"Remove Attribute","Eliminar atributo"
"Remove Cart Price Rule from Campaign","Quitar regla de precio de carrito de la campaña"
"Remove Catalog Price Rule from Campaign","Quitar regla de precio de catálogo de la campaña"
"Remove Category from Campaign","Quitar la categoría de la campaña"
"Remove CMS block from Campaign","Quitar bloque CMS de la Campaña"
"Remove CMS page from Campaign","Quitar página de CMS de la campaña"
"Remove Coupon Code","Eliminar cupón"
"Remove from tree.","Quitar del árbol."
"Remove image","Quitar imagen"
"Remove item","Remover artículo"
"Remove Item","Eliminar elemento"
"Remove item","Quitar artículo"
"Remove Item","Eliminar elemento"
"Remove item","Quitar artículo"
"Remove Layout Update","Eliminar actualización de diseño"
"Remove Option","Quitar la opción"
"Remove Product","Eliminar artículo"
"Remove Product from Campaign","Eliminar producto de campaña"
"Remove Product From Websites","Eliminar el artículo de los sitios de Internet"
"Remove Recipent","Eliminar destinatario"
"Remove Row","Remover fila"
"Remove This Item","Eliminar este artículo"
"Remove this update","Remover esta actualización"
"Remove to Archive","Remover a Archivo"
"Render Metadata in HTML Head.","Procesar los metadatos en el Head del HTML."
Reorder,"Volver a hacer el pedido"
"Reorganize EAV category structure to flat structure","Reorganizar la esctructura de categoría EAV a una estructura plana"
"Reorganize EAV product structure to flat structure","Reorganizar la esctructura de artículo EAV a una estructura plana"
"Repeat Schedule","Repetir horario"
Replace,Reemplazar
Report,Informe
"Report All Bugs","Informar de todos los errores"
"Report Bugs","Informar de Errores"
"Report Date","Fecha del informe"
"Report Groups","Grupos de informes"
Reports,Informes
"Repository should return instance of %s","Repositorio debe devolver instancia de %s"
"Representing Magento's highest level of partner engagement, Magento Platinum Partners have established themselves as leaders and innovators of key products and services designed to help merchants and brands grow their business. Magento reserves the Platinum level for select trusted partners that are committed to offering integrations of commerce features, functions, and tools, as well as back-end systems and operations, to extend and enhance the power of the Magento commerce platform.","Representando el más alto nivel de participación de los socios de Magento, Magento Partners Platinum se han establecido como líderes e innovadores de productos y servicios clave diseñados para ayudar a los comerciantes y marcas a crecer en sus negocios. Magento se reserva el nivel Platino para una selección de colaboradores de confianza que se han comprometido a ofrecer características de integración de comercio, funciones y herramientas, así como los sistemas de back-end y operaciones, para ampliar y mejorar el poder de la plataforma de comercio electrónico Magento."
"Request Courier","Solicitar servicio de mensajería"
"Request Details","Detalles de Solicitud"
"Request does not match any route.","Solicitud no coincide con ninguna ruta."
"Request Information","Solicitar información"
"Request Path","Solicitar ruta"
"Request Path for Specified Store","Solicitud de ruta para la tienda especificada"
"Request Qty","Cantidad de solicitud"
Requested,Solicitado
"Requested bundle option product doesn't exist","La opción solicitada del paquete de productos no existe"
"Requested column ""%1"" cannot be resolved","Columna solicitada ""%1"" no se puede resolver"
"Requested country is not available.","El país solicitado no está disponible."
"Requested entity doesn't exist","Entidad solicitada no existe"
"Requested invalid store ""%1""","Tienda solicitada ""%1"" inválida"
"Requested option doesn't exist","La opción solicitada no existe"
"Requested option doesn't exist: %1","La opción solicitada no existe: %1"
"Requested payment method does not match with order.","La forma de pago seleccionada no coincide con el pedido."
"Requested product does not support images.","El producto solicitado no es compatible con imágenes."
"Requested product doesn't exist","El producto solicitado no existe"
"Requested Qty","Cantidad solicitada"
"Requested Quantity","Cantidad solicitada"
"Requested service is not available: ""%1""","El servicio solicitado no está disponible: ""%1"""
"Requested store is inactive","La tienda solicitada esta inactiva"
"Requested store is not found","Tienda solicitada no se encuentra"
"Requested system report has no data to display.","El reporte de sistema solicitado no tiene datos para mostrar."
"Requested system report has no data to output.","El reporte de sistema solicitado no tiene datos para salida."
"Requested system report no longer exists.","Informe de sistema solicitado ya no existe."
"Requested warehouse doesn't exist","Almacén solicitado no existe"
"Require Customer's Billing Address","Requiere la dirección de facturación del cliente"
"Require CVV Entry","Requiere el código de seguridad de la tarjeta"
"Require Emails Confirmation","Solicitar confirmación por correo electrónico"
Required,Requerido
"Required Fields","Campos obligatorios"
"Required for negotiated rates; 6-character UPS","Requerido para tarifas negociadas; 6 caracteres"
"Required PayPal Settings","Configuración obligatoria de PayPal"
"Required to display a banner","Necesario para mostrar un banner"
Reset,Restablecer
"Reset a Password","Reinicializar contraseña"
"Reset Filter","Restablecer filtro"
"Reset My Password","Restablecer mi contraseña"
"Reset Password","Restablecer contraseña"
"Reset Password Template","Plantilla para restablecer contraseña"
"Reset password token expired.","El Token para restablecer contraseña caducó."
"Reset password token mismatch.","El Token para restablecer contraseña no coincide."
"Reset to Default","Restaurar predeterminados"
"Reset to Defaults","Restablecer valores predeterminados"
"Reset your %store_name password","Reestablece tu contraseña de %store_name"
Residential,Residencial
"Residential Delivery","Entrega residencial"
Resolution,Resolución
"Resource Access","Zugriff auf Ressource"
Resources,Zugriffsrechte
"Response Code","Código de respuesta"
"Response info is not exist.","No existe información de la respuesta."
"Response is in the wrong format","La respuesta está en el formato incorrecto"
"REST and SOAP configurations, generated WSDL file","Ajustes REST y SOAP, archivo WSDL generado"
"Restore from Archive","Restaurar de Archivo"
"Restrict by Banner Types","Restringir por tipos de banner"
"Restriction Mode","Modo de restricción"
Result,Resultado
"Result Limit","Límite de resultado"
Results,Resultados
"Results of DDL queries, such as describing tables or indexes","Resultados de las consultas DDL, como descripción de las tablas o índices"
Resume,Reanudar
"Retrieve Password","Recuperar contraseña"
"Retry Messages In Progress After","Reintentar mensajes en curso después de"
Return,Devolución
"Return #","# Devolución"
"Return #%1","Reembolso # %1"
"Return #%1 - %2","Retorno #%1 - %2"
"Return Address","Dirección de retorno"
"Return Address:","Dirección de retorno:"
"Return Confirmation","Confirmación de devolución"
"Return Date:","Fecha de devolución:"
"Return Html Version","HTML-Version ausgeben"
"Return HTML Version","Devolver versión HTML"
"Return Information","Información de devolución"
"Return Item Attribute","Atributo de artículo de devolución"
"Return Items",Devoluciones
"Return items",Devoluciones
"Return Items Information","Información de articulos con devolución"
"Return Partially Received","Devolución parcial recibida"
"Return Reason","Razón de devolución"
"Return Received","Devolución recibida"
"Return Status","Estado de la devolución"
"Return to Order Management","Mover a gestión de pedidos"
"Return to Stock","Artículos para devolver a existencias"
"Return Totals","Reembolso total"
"Return-Path Email","Correo electrónico de ruta de retorno"
Returned,Devuelto
"Returned Qty","Cantidad devuelta"
Returns,Devueltos
"Returns Attributes","Atributos de Devolución"
Revenue,Ingresos
Reversal,Inversión
"Reversal of an adjustment.","Revocación de un ajuste."
"Reversal of General Account Hold","Revocación de cargo general en cuenta"
"Reversal of hold for Dispute Investigation","Reposición por la investigación de la disputa"
"Reversal of Points Usage","Inversión de los puntos de utilización"
Reverted,Revertido
"Reverted from incomplete order #%1","Revertido de orden incompleta #%1"
Review,Reseña
"Review & Payments","Revisión y Pagos"
"Review by","Comentario por"
"Review Details","Detalles de reseña"
"Review Order","Revisar pedido"
"Review Order - %1","Revisar pedido - %1"
"Review Submission","Verificar entrada"
"Review: %1 <br/>","Reseña: %1 <br/>"
Reviews,Reseñas
"Reviews %1","Reseñas %1"
"Reviews for %1","Reseñas para %1"
"Reward Exchange Rate Information","Información de tipo de intercambio de recompensas"
"Reward Exchange Rates","Tipos de cambio de los puntos de recompensa"
"Reward Points","Puntos de recompensa"
"Reward points","Puntos de recompensa"
"Reward Points Balance","Saldo de puntos de recompensa"
"Reward points balance Information","Información de saldo de puntos de recompensa"
"Reward Points Cap","Tope de Puntos de Recompensa"
"Reward Points Expire in (days)","Los puntos de recompensa caducarán en (días)"
"Reward Points Expiry Calculation","Cálculo de vencimiento de puntos de recompensa"
"Reward Points Expiry Warning Email","Email de advertencia de vencimiento de puntos de recompensa"
"Reward Points History","Historia de puntos de recompensa"
